booking_id,booking_date,hotel_type,location,demand,star_rating,ac_type,lead_time,stay_duration,price_per_night,total_cost,is_canceled
55,2025-05-24,Resort,Andaman Islands,High,4,nonac,56,5,3181,15905,0
56,2024-08-13,Resort,Goa,Very High,4,nonac,83,9,4794,43146,0
57,2025-06-04,City,Mumbai,Very High,3,ac,26,1,3367,3367,0
58,2024-11-12,City,Kolkata,High,normal,nonac,76,3,991,2973,0
59,2024-05-17,City,Lucknow,Medium,3,ac,36,4,1745,6980,0
60,2024-05-23,City,Mumbai,Very High,3,ac,7,7,2897,20279,0
61,2024-12-17,City,Bengaluru,Very High,3,nonac,73,9,2115,19035,0
62,2025-06-16,City,Mumbai,Very High,normal,ac,31,7,2184,15288,0
63,2024-12-29,Resort,Rishikesh,High,4,ac,22,3,4346,13038,0
64,2025-02-14,City,Mumbai,Very High,normal,ac,63,9,2011,18099,0
65,2024-01-29,City,Mumbai,Very High,5,nonac,43,5,12225,61125,0
66,2025-05-04,City,Indore,Low,normal,ac,76,5,583,2915,0
67,2024-04-03,City,Chennai,High,5,ac,98,5,8452,42260,0
68,2024-09-01,Resort,Shimla,Very High,5,nonac,40,4,12528,50112,0
69,2024-12-08,City,Kochi,Medium,3,nonac,2,2,1681,3362,0
70,2024-05-07,Resort,Andaman Islands,High,5,ac,53,7,7959,55713,0
71,2024-01-14,Resort,Andaman Islands,High,5,ac,32,8,11270,90160,0
72,2025-12-24,City,Kochi,Medium,normal,nonac,1,4,600,2400,1
73,2025-10-26,City,Surat,Medium,5,ac,89,3,6266,18798,1
74,2025-07-22,Resort,Rishikesh,High,normal,ac,68,6,1487,8922,0
75,2025-12-20,Resort,Manali,Very High,normal,ac,38,6,2322,13932,0
76,2025-11-15,Resort,Mussoorie,Medium,3,ac,45,4,1654,6616,0
77,2025-08-04,Resort,Coorg,High,normal,ac,4,5,1323,6615,0
78,2025-01-31,City,Mumbai,Very High,normal,nonac,73,4,1279,5116,0
79,2025-01-03,City,Lucknow,Medium,5,ac,82,4,10170,40680,0
80,2024-05-31,City,Bengaluru,Very High,5,ac,41,4,13698,54792,0
81,2025-02-28,Resort,Ooty,High,4,ac,48,1,5373,5373,0
82,2024-07-24,Resort,Manali,Very High,3,nonac,11,5,1927,9635,1
83,2025-10-13,City,Bhopal,Low,5,ac,61,2,6281,12562,1
84,2024-11-21,City,Jaipur,Medium,normal,ac,70,3,662,1986,1
85,2025-11-21,City,Kochi,Medium,5,ac,80,5,8585,42925,0
86,2025-10-10,City,Kochi,Medium,3,nonac,8,8,1210,9680,1
87,2025-10-24,Resort,Coorg,High,5,ac,19,8,12049,96392,0
88,2025-03-27,Resort,Manali,Very High,4,nonac,5,7,4250,29750,1
89,2025-04-28,Resort,Munnar,High,5,nonac,90,4,8111,32444,0
90,2024-04-16,City,Hyderabad,High,5,ac,89,2,13945,27890,0
91,2024-10-31,City,Chennai,High,5,ac,25,8,8575,68600,1
92,2025-08-03,Resort,Darjeeling,High,4,nonac,9,3,3020,9060,0
93,2025-01-09,Resort,Kasauli,Medium,4,ac,99,3,4082,12246,1
94,2024-02-05,Resort,Andaman Islands,High,4,ac,65,6,6834,41004,1
95,2024-09-01,Resort,Munnar,High,normal,ac,47,9,969,8721,1
96,2025-10-19,City,Mumbai,Very High,4,ac,66,3,8739,26217,1
97,2024-09-15,City,Lucknow,Medium,normal,ac,44,6,894,5364,1
98,2025-11-19,City,Lucknow,Medium,5,nonac,42,9,5709,51381,1
99,2025-01-24,City,Delhi,Very High,normal,ac,25,6,2055,12330,0
100,2024-09-11,City,Kolkata,High,5,ac,12,1,11790,11790,1
101,2025-09-27,City,Pune,High,3,nonac,29,2,2110,4220,1
102,2025-05-28,Resort,Manali,Very High,normal,ac,12,3,1336,4008,1
103,2024-09-04,City,Pune,High,5,nonac,77,9,7688,69192,0
104,2024-02-01,City,Hyderabad,High,normal,ac,75,9,1552,13968,0
105,2024-07-10,Resort,Udaipur,Very High,3,nonac,71,4,2880,11520,1
106,2024-02-10,City,Hyderabad,High,4,nonac,39,3,4529,13587,0
107,2024-11-20,City,Chandigarh,Medium,3,ac,86,3,1643,4929,0
108,2025-09-23,Resort,Shimla,Very High,3,ac,55,9,2919,26271,1
109,2025-08-11,City,Chennai,High,4,nonac,73,1,4866,4866,0
110,2025-04-15,City,Mumbai,Very High,5,nonac,39,9,13969,125721,0
111,2025-06-24,City,Chandigarh,Medium,normal,ac,96,6,953,5718,0
112,2025-03-27,City,Mumbai,Very High,normal,ac,78,3,1866,5598,0
113,2025-08-16,Resort,Coorg,High,3,ac,52,5,2372,11860,1
114,2025-04-30,Resort,Manali,Very High,3,nonac,29,6,3237,19422,1
115,2025-09-07,Resort,Goa,Very High,3,ac,99,9,3352,30168,1
116,2025-11-14,Resort,Lonavala,Medium,3,nonac,42,4,1387,5548,1
117,2025-10-09,Resort,Rishikesh,High,3,ac,12,2,3593,7186,0
118,2024-04-10,City,Jaipur,Medium,5,ac,31,2,10279,20558,1
119,2025-01-09,Resort,Kasauli,Medium,normal,nonac,38,7,553,3871,0
120,2024-05-25,City,Chennai,High,normal,ac,35,6,1526,9156,1
121,2025-10-02,Resort,Ooty,High,4,ac,61,8,6395,51160,0
122,2025-07-12,Resort,Rishikesh,High,normal,nonac,55,4,872,3488,1
123,2024-06-29,City,Pune,High,4,ac,15,5,6224,31120,0
124,2024-07-03,City,Chandigarh,Medium,3,nonac,16,5,1742,8710,0
125,2024-08-01,City,Bengaluru,Very High,3,ac,19,7,3001,21007,1
126,2025-09-25,City,Ahmedabad,Medium,3,ac,58,4,1709,6836,0
127,2024-07-03,Resort,Manali,Very High,3,ac,80,8,3624,28992,0
128,2024-02-07,Resort,Rishikesh,High,4,ac,93,2,5020,10040,0
129,2025-03-07,City,Indore,Low,5,ac,29,9,6342,57078,0
130,2025-10-10,City,Kolkata,High,3,nonac,93,9,1580,14220,0
131,2024-11-04,City,Pune,High,3,nonac,30,1,2132,2132,0
132,2025-02-02,City,Ahmedabad,Medium,normal,ac,85,9,605,5445,1
133,2025-06-25,City,Indore,Low,4,ac,56,4,2013,8052,1
134,2024-10-18,City,Pune,High,3,ac,53,3,2744,8232,0
135,2024-02-20,Resort,Kasauli,Medium,normal,nonac,25,9,591,5319,0
136,2025-05-21,City,Ahmedabad,Medium,normal,nonac,72,1,543,543,0
137,2024-07-18,City,Bengaluru,Very High,normal,ac,14,8,1772,14176,0
138,2024-01-14,Resort,Udaipur,Very High,normal,nonac,18,8,1182,9456,0
139,2024-07-10,City,Surat,Medium,4,nonac,8,6,2987,17922,1
140,2024-12-07,Resort,Darjeeling,High,5,nonac,32,4,9369,37476,0
141,2025-04-16,Resort,Shimla,Very High,4,ac,55,6,6383,38298,0
142,2024-07-27,City,Indore,Low,3,ac,98,1,1211,1211,1
143,2025-07-29,City,Hyderabad,High,3,nonac,15,1,2563,2563,1
144,2024-03-17,City,Ahmedabad,Medium,3,ac,18,5,1873,9365,0
145,2025-04-25,City,Mumbai,Very High,4,nonac,12,5,4158,20790,0
146,2024-03-04,City,Bengaluru,Very High,3,nonac,14,3,2656,7968,1
147,2024-06-17,Resort,Manali,Very High,normal,ac,58,6,1825,10950,0
148,2024-02-02,City,Kochi,Medium,4,nonac,83,2,3351,6702,1
149,2025-03-19,City,Bengaluru,Very High,3,ac,19,6,3595,21570,1
150,2024-11-27,City,Ahmedabad,Medium,normal,nonac,38,9,478,4302,0
151,2024-09-22,Resort,Manali,Very High,normal,ac,64,9,2276,20484,1
152,2024-11-27,City,Mumbai,Very High,3,nonac,47,8,3202,25616,1
153,2025-09-17,City,Kochi,Medium,3,ac,68,2,1662,3324,0
154,2024-03-26,City,Delhi,Very High,3,ac,28,2,3286,6572,0
155,2024-06-07,Resort,Mahabaleshwar,Medium,normal,ac,90,4,609,2436,0
156,2024-02-07,City,Jaipur,Medium,normal,ac,21,5,774,3870,1
157,2024-05-19,Resort,Lonavala,Medium,normal,nonac,36,3,416,1248,0
158,2024-08-14,Resort,Andaman Islands,High,5,nonac,80,4,10107,40428,0
159,2024-01-12,City,Kolkata,High,3,nonac,2,9,1922,17298,0
160,2024-06-25,Resort,Udaipur,Very High,normal,ac,17,3,2270,6810,1
161,2025-09-28,City,Mumbai,Very High,4,nonac,65,1,5487,5487,0
162,2025-07-02,Resort,Munnar,High,normal,ac,27,7,1468,10276,0
163,2024-06-28,Resort,Andaman Islands,High,3,ac,42,6,3287,19722,1
164,2025-08-15,City,Surat,Medium,normal,ac,7,8,908,7264,0
165,2024-09-07,City,Surat,Medium,5,ac,81,3,6474,19422,0
166,2024-12-13,Resort,Kasauli,Medium,5,ac,66,2,6605,13210,0
167,2024-03-24,City,Surat,Medium,4,ac,65,3,3147,9441,0
168,2024-04-08,City,Kolkata,High,4,ac,44,1,4011,4011,0
169,2025-10-11,City,Bengaluru,Very High,3,ac,18,6,2871,17226,0
170,2024-12-28,Resort,Andaman Islands,High,5,nonac,31,1,10097,10097,0
171,2025-12-15,Resort,Kasauli,Medium,3,ac,79,8,2439,19512,1
172,2024-10-31,City,Kochi,Medium,normal,nonac,99,7,520,3640,0
173,2025-09-04,City,Hyderabad,High,normal,ac,79,2,1042,2084,0
174,2024-08-27,City,Bengaluru,Very High,normal,nonac,54,2,1143,2286,1
175,2024-06-28,Resort,Kasauli,Medium,3,ac,42,5,2490,12450,0
176,2025-11-19,City,Chandigarh,Medium,normal,ac,75,4,620,2480,0
177,2025-01-17,Resort,Udaipur,Very High,4,ac,81,2,9030,18060,0
178,2024-11-28,City,Delhi,Very High,3,ac,66,2,4401,8802,0
179,2025-09-01,Resort,Andaman Islands,High,5,ac,91,1,12117,12117,0
180,2024-12-25,City,Pune,High,3,nonac,10,4,1682,6728,1
181,2024-08-23,City,Delhi,Very High,4,ac,99,9,6648,59832,0
182,2025-12-01,City,Delhi,Very High,3,nonac,8,2,2253,4506,1
183,2025-06-28,Resort,Goa,Very High,5,nonac,71,4,14172,56688,0
184,2024-03-05,Resort,Lonavala,Medium,normal,ac,5,5,703,3515,0
185,2025-04-07,City,Kolkata,High,normal,ac,73,2,1053,2106,0
186,2024-02-20,Resort,Rishikesh,High,4,nonac,10,1,4746,4746,1
187,2025-10-20,Resort,Munnar,High,4,ac,90,6,5561,33366,0
188,2025-04-15,Resort,Darjeeling,High,3,ac,25,4,3220,12880,0
189,2024-11-22,City,Hyderabad,High,3,nonac,8,3,2411,7233,0
190,2024-07-25,City,Jaipur,Medium,3,nonac,55,6,1150,6900,1
191,2024-05-06,City,Indore,Low,normal,nonac,30,3,345,1035,0
192,2024-03-07,Resort,Munnar,High,5,nonac,51,2,5607,11214,0
193,2025-10-28,Resort,Coorg,High,3,nonac,30,4,1961,7844,0
194,2025-05-28,Resort,Goa,Very High,4,ac,10,9,8369,75321,0
195,2024-02-24,City,Surat,Medium,4,ac,44,8,3198,25584,1
196,2024-11-17,City,Bhopal,Low,normal,nonac,11,4,360,1440,1
197,2025-10-08,Resort,Goa,Very High,normal,nonac,46,5,1265,6325,0
198,2024-03-22,Resort,Ooty,High,3,ac,45,9,2709,24381,1
199,2025-05-28,Resort,Lonavala,Medium,4,nonac,39,1,2138,2138,0
200,2025-06-21,Resort,Darjeeling,High,3,nonac,51,5,1680,8400,1
201,2024-09-22,Resort,Mussoorie,Medium,normal,ac,66,5,795,3975,0
202,2024-11-29,City,Mumbai,Very High,3,nonac,63,7,3027,21189,0
203,2025-07-08,City,Pune,High,normal,nonac,23,4,826,3304,0
204,2024-08-01,Resort,Kodaikanal,Low,normal,nonac,5,4,333,1332,0
205,2025-11-11,Resort,Mahabaleshwar,Medium,3,ac,65,6,2452,14712,1
206,2025-12-07,City,Bengaluru,Very High,normal,nonac,32,6,1483,8898,0
207,2025-03-25,City,Jaipur,Medium,4,ac,47,7,3225,22575,0
208,2024-01-30,Resort,Rishikesh,High,3,ac,49,6,3427,20562,0
209,2025-10-03,City,Chennai,High,4,ac,94,3,4666,13998,1
210,2024-09-24,City,Hyderabad,High,3,ac,90,5,2937,14685,0
211,2025-12-15,City,Kolkata,High,5,nonac,9,1,6209,6209,0
212,2024-04-21,Resort,Manali,Very High,normal,ac,55,7,1877,13139,0
213,2024-08-16,Resort,Mahabaleshwar,Medium,normal,ac,12,4,1018,4072,1
214,2024-05-17,City,Bengaluru,Very High,5,ac,63,6,18661,111966,1
215,2024-08-22,Resort,Shimla,Very High,4,ac,7,8,5455,43640,0
216,2025-09-21,City,Delhi,Very High,normal,nonac,29,2,930,1860,0
217,2024-06-27,City,Kolkata,High,normal,nonac,43,8,569,4552,0
218,2024-11-10,Resort,Munnar,High,5,nonac,8,3,8934,26802,0
219,2025-07-14,Resort,Manali,Very High,normal,ac,68,9,1512,13608,0
220,2025-09-14,Resort,Lonavala,Medium,5,ac,94,8,10137,81096,0
221,2024-04-29,Resort,Udaipur,Very High,5,nonac,87,5,12243,61215,1
222,2024-04-01,Resort,Udaipur,Very High,normal,nonac,64,7,1199,8393,0
223,2024-12-05,City,Kolkata,High,4,ac,55,4,5821,23284,1
224,2025-07-13,City,Kolkata,High,3,ac,29,7,2266,15862,1
225,2024-04-18,City,Delhi,Very High,4,ac,48,6,8625,51750,1
226,2025-08-31,City,Chennai,High,3,nonac,39,6,2168,13008,1
227,2025-10-24,Resort,Goa,Very High,normal,ac,49,5,2121,10605,0
228,2025-09-10,City,Bengaluru,Very High,4,ac,12,9,8663,77967,1
229,2025-03-21,Resort,Manali,Very High,normal,ac,76,4,2228,8912,1
230,2024-07-20,Resort,Udaipur,Very High,5,nonac,82,5,13793,68965,0
231,2024-10-20,Resort,Shimla,Very High,3,ac,85,3,2788,8364,0
232,2024-03-07,City,Mumbai,Very High,normal,ac,91,3,1850,5550,0
233,2025-04-14,Resort,Goa,Very High,normal,ac,83,5,1797,8985,0
234,2025-07-04,City,Mumbai,Very High,5,ac,68,1,17484,17484,0
235,2025-11-13,City,Kochi,Medium,3,nonac,55,1,1180,1180,0
236,2025-07-09,Resort,Ooty,High,5,ac,50,8,12192,97536,1
237,2025-02-10,City,Kolkata,High,normal,nonac,20,2,707,1414,0
238,2025-12-02,City,Kochi,Medium,3,nonac,80,3,1615,4845,1
239,2024-12-19,Resort,Rishikesh,High,5,nonac,6,7,9159,64113,0
240,2025-01-15,City,Mumbai,Very High,normal,nonac,86,9,1177,10593,0
241,2025-05-16,Resort,Rishikesh,High,3,nonac,51,5,1481,7405,1
242,2025-03-20,Resort,Andaman Islands,High,5,ac,88,7,14218,99526,1
243,2025-06-09,Resort,Goa,Very High,3,nonac,37,7,2623,18361,1
244,2024-07-04,City,Jaipur,Medium,4,ac,32,4,3593,14372,0
245,2025-02-06,City,Ahmedabad,Medium,4,nonac,97,9,2491,22419,0
246,2025-10-23,Resort,Shimla,Very High,3,ac,71,8,3427,27416,0
247,2025-12-24,City,Bengaluru,Very High,4,nonac,60,6,6266,37596,0
248,2025-07-20,Resort,Shimla,Very High,4,nonac,41,2,5229,10458,0
249,2025-04-12,Resort,Rishikesh,High,4,ac,93,1,4370,4370,0
250,2024-08-01,Resort,Shimla,Very High,normal,nonac,30,8,1454,11632,0
251,2025-07-18,City,Bengaluru,Very High,5,nonac,19,1,11945,11945,1
252,2024-04-09,City,Bhopal,Low,4,ac,77,5,3258,16290,1
253,2025-12-12,Resort,Munnar,High,3,ac,22,5,2606,13030,0
254,2024-04-13,City,Chandigarh,Medium,3,ac,60,7,2211,15477,1
255,2024-08-20,City,Mumbai,Very High,3,nonac,29,9,1981,17829,1
256,2024-05-04,Resort,Darjeeling,High,4,ac,42,6,4208,25248,1
257,2025-08-28,Resort,Goa,Very High,5,ac,54,9,19334,174006,0
258,2024-03-28,Resort,Ooty,High,normal,ac,50,2,1503,3006,1
259,2024-05-30,Resort,Lonavala,Medium,5,nonac,18,3,7020,21060,1
260,2025-05-21,City,Delhi,Very High,normal,nonac,8,3,1504,4512,0
261,2025-12-07,Resort,Mussoorie,Medium,3,nonac,7,5,1520,7600,0
262,2025-02-21,Resort,Coorg,High,3,nonac,57,9,2112,19008,1
263,2025-09-04,City,Mumbai,Very High,3,nonac,37,5,3188,15940,0
264,2025-08-05,City,Chennai,High,3,ac,34,1,3281,3281,0
265,2024-03-13,Resort,Lonavala,Medium,4,ac,74,7,3288,23016,1
266,2024-06-11,Resort,Udaipur,Very High,3,ac,40,9,4541,40869,1
267,2025-02-05,Resort,Rishikesh,High,normal,ac,35,5,1437,7185,1
268,2025-01-09,Resort,Mussoorie,Medium,4,ac,5,2,3737,7474,0
269,2024-08-21,City,Hyderabad,High,4,nonac,90,8,2826,22608,0
270,2025-04-26,City,Hyderabad,High,5,nonac,71,6,7200,43200,0
271,2024-11-05,Resort,Munnar,High,normal,ac,7,6,1458,8748,0
272,2025-10-20,Resort,Rishikesh,High,5,ac,12,3,9571,28713,0
273,2025-03-20,Resort,Mahabaleshwar,Medium,3,ac,40,4,2578,10312,1
274,2025-03-28,Resort,Rishikesh,High,normal,ac,63,8,1507,12056,0
275,2025-12-18,City,Bengaluru,Very High,5,ac,89,6,17386,104316,0
276,2024-02-07,City,Bengaluru,Very High,normal,ac,42,9,1976,17784,0
277,2024-12-24,Resort,Mussoorie,Medium,4,ac,48,2,3770,7540,1
278,2025-01-09,Resort,Rishikesh,High,4,ac,6,9,7099,63891,1
279,2024-07-24,Resort,Munnar,High,3,ac,8,8,3176,25408,0
280,2025-05-20,Resort,Rishikesh,High,4,ac,9,8,4254,34032,0
281,2025-04-02,Resort,Darjeeling,High,3,ac,1,5,2660,13300,0
282,2025-04-11,City,Chennai,High,normal,ac,56,2,917,1834,1
283,2024-03-19,City,Mumbai,Very High,4,ac,39,6,9057,54342,0
284,2025-12-07,City,Jaipur,Medium,5,ac,73,1,7099,7099,1
285,2024-08-28,Resort,Munnar,High,3,ac,33,9,3117,28053,1
286,2024-04-22,City,Delhi,Very High,5,ac,87,4,14802,59208,0
287,2024-05-09,City,Kochi,Medium,3,ac,71,3,2597,7791,0
288,2024-01-16,City,Delhi,Very High,3,ac,62,8,3842,30736,1
289,2024-03-31,City,Delhi,Very High,4,ac,14,2,6741,13482,1
290,2025-04-27,Resort,Andaman Islands,High,normal,ac,17,2,1210,2420,0
291,2025-11-10,City,Surat,Medium,5,nonac,97,1,5413,5413,1
292,2025-01-21,City,Mumbai,Very High,4,ac,51,2,8004,16008,0
293,2024-04-29,Resort,Mahabaleshwar,Medium,5,ac,6,6,6715,40290,0
294,2024-12-02,City,Hyderabad,High,4,ac,15,3,5674,17022,0
295,2024-10-06,City,Pune,High,5,ac,64,9,8408,75672,0
296,2024-05-31,City,Lucknow,Medium,4,ac,31,1,3060,3060,0
297,2024-01-18,Resort,Shimla,Very High,3,nonac,39,1,2082,2082,0
298,2024-04-06,City,Ahmedabad,Medium,5,ac,48,8,6300,50400,0
299,2024-02-04,Resort,Coorg,High,3,ac,5,1,3586,3586,1
300,2024-10-19,City,Surat,Medium,3,ac,38,9,1502,13518,0
301,2024-11-06,City,Kochi,Medium,normal,ac,29,5,1031,5155,0
302,2024-09-17,City,Chennai,High,5,nonac,8,1,6711,6711,0
303,2024-05-08,City,Delhi,Very High,normal,nonac,40,1,1340,1340,0
304,2024-03-27,Resort,Mussoorie,Medium,normal,ac,31,6,880,5280,0
305,2025-08-17,Resort,Shimla,Very High,normal,ac,30,5,2055,10275,0
306,2025-12-17,Resort,Udaipur,Very High,3,nonac,97,2,1996,3992,0
307,2024-11-11,City,Mumbai,Very High,3,ac,32,4,4279,17116,1
308,2025-04-22,City,Lucknow,Medium,4,ac,64,8,4221,33768,1
309,2024-08-10,Resort,Kasauli,Medium,3,ac,97,4,1579,6316,0
310,2024-11-15,City,Hyderabad,High,4,nonac,39,8,3994,31952,0
311,2024-07-29,City,Bengaluru,Very High,normal,ac,91,7,1820,12740,0
312,2025-09-11,City,Delhi,Very High,normal,nonac,1,7,1176,8232,0
313,2025-10-03,City,Pune,High,4,nonac,50,7,4514,31598,0
314,2025-04-29,Resort,Udaipur,Very High,3,ac,20,7,2537,17759,1
315,2025-06-26,Resort,Andaman Islands,High,normal,nonac,42,4,782,3128,0
316,2025-11-18,Resort,Kodaikanal,Low,5,nonac,55,1,4623,4623,0
317,2024-05-26,City,Surat,Medium,normal,ac,95,5,918,4590,0
318,2025-07-12,City,Chandigarh,Medium,normal,ac,15,9,876,7884,0
319,2025-12-08,City,Delhi,Very High,3,ac,3,3,4180,12540,1
320,2025-04-21,City,Bengaluru,Very High,normal,nonac,4,8,1251,10008,1
321,2024-03-14,City,Mumbai,Very High,normal,ac,18,2,2137,4274,0
322,2025-12-25,Resort,Shimla,Very High,4,ac,12,7,8106,56742,1
323,2025-12-09,Resort,Rishikesh,High,normal,ac,96,9,862,7758,0
324,2024-03-14,City,Chennai,High,normal,nonac,13,2,614,1228,0
325,2024-12-11,Resort,Mussoorie,Medium,5,ac,19,7,8066,56462,0
326,2024-07-14,Resort,Mahabaleshwar,Medium,3,nonac,51,4,1226,4904,0
327,2024-02-04,Resort,Goa,Very High,normal,ac,84,5,1999,9995,1
328,2025-04-03,Resort,Mahabaleshwar,Medium,3,nonac,35,3,1355,4065,0
329,2024-08-29,City,Bengaluru,Very High,normal,ac,58,9,1788,16092,1
330,2025-04-09,City,Hyderabad,High,3,ac,73,7,2851,19957,0
331,2025-03-24,City,Kolkata,High,3,ac,90,5,2113,10565,1
332,2024-01-05,Resort,Andaman Islands,High,5,nonac,67,8,8421,67368,0
333,2024-02-15,City,Chandigarh,Medium,3,ac,4,3,2362,7086,0
334,2024-04-01,City,Jaipur,Medium,4,ac,77,4,3452,13808,1
335,2025-02-26,City,Bengaluru,Very High,normal,ac,10,3,1875,5625,0
336,2025-04-23,City,Ahmedabad,Medium,3,nonac,90,5,1728,8640,0
337,2024-08-17,Resort,Goa,Very High,normal,ac,74,9,1418,12762,0
338,2025-08-14,Resort,Goa,Very High,3,ac,46,6,3428,20568,0
339,2024-06-15,City,Indore,Low,3,ac,30,1,1435,1435,0
340,2024-06-02,City,Mumbai,Very High,5,ac,61,5,12387,61935,1
341,2024-05-22,City,Kochi,Medium,5,nonac,71,2,6964,13928,1
342,2024-04-11,City,Mumbai,Very High,3,ac,26,8,2841,22728,0
343,2025-11-22,City,Hyderabad,High,normal,nonac,86,5,612,3060,0
344,2024-11-12,City,Pune,High,3,nonac,45,2,2554,5108,0
345,2025-08-05,City,Bengaluru,Very High,4,ac,42,2,5063,10126,1
346,2025-11-15,Resort,Darjeeling,High,normal,nonac,50,6,964,5784,1
347,2025-07-14,Resort,Munnar,High,3,ac,97,6,3551,21306,0
348,2024-09-08,City,Mumbai,Very High,normal,ac,70,6,2190,13140,0
349,2025-05-06,City,Jaipur,Medium,normal,ac,11,3,593,1779,1
350,2024-11-04,Resort,Mussoorie,Medium,normal,nonac,42,7,642,4494,0
351,2025-05-21,City,Kolkata,High,5,nonac,23,2,7740,15480,1
352,2024-04-08,Resort,Munnar,High,normal,ac,57,8,867,6936,0
353,2025-03-13,Resort,Mussoorie,Medium,normal,nonac,45,9,578,5202,1
354,2025-04-22,City,Kochi,Medium,5,ac,57,7,9582,67074,0
355,2024-02-16,City,Jaipur,Medium,3,nonac,41,6,1766,10596,0
356,2024-01-04,Resort,Ooty,High,4,nonac,27,4,3113,12452,0
357,2024-04-07,City,Delhi,Very High,3,nonac,89,9,2506,22554,0
358,2024-08-04,Resort,Kasauli,Medium,3,ac,18,9,2160,19440,0
359,2024-04-26,Resort,Ooty,High,normal,nonac,51,5,626,3130,0
